ID;Descripción;English;Español;
1;GeneralButton: HomeButton;Home;Inicio;
2;GeneralButton: BackButton;Back;Atras;
3;GameOverMenu: ResetButton;Reset;Reiniciar;
4;HomeButton: Play Button;Play;Jugar;
5;HomeButton: Options Button;Options;Opciones;
6;HomeButton: Credits Button; Credits;Creditos;
7;HomeButton: Exit Button;Exit;Salir;
8;OptionsText: TitleOptions;Settings;Opciones;
9;OptionsButtonText: DisplayButton;Display;Pantalla;
10;OptionsButtonText: VolumeButton;Volume;Volumen;
11;OptionsButtonText: ControlsButton;Controls;Controles;
12;OptionsDisplayButtonText: ResolutionButton;Resolution;Resolución;
13;OptionsDisplayButtonText: WindowModeButton;Window Mode;Tipo de ventana;
14;OptionsDisplayButtonText: FullScreenText;Full screen;Pantalla completa;
15;OptionsDisplayButtonText: WindowText;Window;Ventana;
16;OptionsDisplayButtonText: FpsLimitButton;Fps Limit;Limite de Fps;
17;OptionsDisplayButtonText: LanguageButton;Language;Lenguaje;
18;OptionsDisplayButtonText: MuteButton;Mute;Silenciar;
19;ControlButtonText: ControlMovePlayer;Movement;Movimiento;
20;ControlButtonText: ControlMoveDirection;Move direction;Mover dirección;
21;ControlButtonText: ControlChangeInteract;Change interact;Cambiar interacción;
22;ControlButtonText: ControlInteract;Interact;Interactuar;
23;ControlButtonText: ControlSecondary action;Secondary action;Acción secundaria;
24;ControlButtonText: ControlJump;Jump;Saltar;
25;ControlButtonText: ControlActiveSkill;Active skills;Activar habilidades;
26;ControlButtonText: ControlUseSkill;Use skill;Utilizar habilidad;
27;ControlButtonText: ControlChangeItem;Change item;Cambiar item;
28;ControlButtonText: ControlUseItem;Use item;Utilizar item;
29;ControlButtonText: ControlTarget;Target;Fijar;
30;ControlButtonText: ControlShowStats;Show stats;Mostrar estadisticas;
31;ControlButtonText: ControlPause;Pause;Pausa;
32;ControlButtonText: ControlUnlockCamera;Unlock camera;Desbloquear camara;
33;ControlButtonText: ControlBasicAttack;Basic attack;Ataque basico;
34;CreditsDisplayText: TeamText;Team;Equipo;
35;CreditsDisplayText: GameDirectorText;Game Director;Director de juego;
36;CreditsDisplayText: LeadArtistText;Lead Artist;Artista lider;
37;CreditsDisplayText: LeadProgrammerText;Lead Programmer;Programador lider;
38;SelectCharacterButton: TeamText;Start;Comenzar;
39;InformationMessage: ObtainItemMessage;You obtain;Obtuviste;
40;InformationMessage: FullInventoryMessage;Full inventory;Inventario lleno;
41;InformationMessage: NeedKeyMessage;Need a key;Necesitas una llave;
42;InformationMessage: ItemNameMessage;Life potion;Posión de vida;
43;InformationMessage: ItemNameMessage;Mana potion;Posión de mana;
44;InformationMessage: ItemNameMessage;Stamina potion;Posión de estamina;
45;InformationMessage: ItemNameMessage;Wood shield;Escudo de madera;
46;InformationMessage: ItemNameMessage;Torch;Antorcha;
47;InformationMessage: ItemNameMessage;Old sword;Espada vieja;
48;InformationMessage: ItemNameMessage;Fangs;Colmillos;
49;InformationMessage: ItemNameMessage;Key;Llave;
50;InformationMessage: ItemNameMessage;Chest;Cofre;
